* c0 0.0
* kappa 15.0
* Ka 4e2
* A0 0.0021911563
* PC 4
* _PC 4
215 An2 2.06644
216 An0 2.23598
216 An1 1.99728
216 An2 2.04992
217 An0 2.34894
217 An1 1.97429
217 An2 1.95996
218 An0 2.25355
218 An1 2.03219
218 An2 1.99745
219 An0 2.06642
219 An1 2.14341
219 An2 2.07335
220 An0 2.17537
220 An1 2.06488
220 An2 2.04294
221 An0 2.07503
221 An1 2.12245
221 An2 2.08571
222 An0 2.0952
222 An1 2.09399
222 An2 2.09399
223 An0 2.09869
223 An1 2.09442
223 An2 2.09007
224 An0 2.09867
224 An1 2.09007
224 An2 2.09444
225 An0 2.10382
225 An1 2.09464
225 An2 2.08472
226 An0 2.10855
226 An1 2.09157
226 An2 2.08306
227 An0 2.12629
227 An1 2.07872
227 An2 2.07817
228 An0 2.10382
228 An1 2.08473
228 An2 2.09464
229 An0 2.12633
229 An1 2.07816
229 An2 2.07869
230 An0 2.10851
230 An1 2.08309
230 An2 2.09159
231 An0 2.08764
231 An1 2.09112
231 An2 2.10443
232 An0 2.03456
232 An1 2.14116
232 An2 2.10747
233 An0 2.00586
233 An1 2.10617
233 An2 2.17116
234 An0 1.93636
234 An1 2.24192
234 An2 2.10491
235 An0 1.62815
235 An1 2.55606
235 An2 2.09898
236 An0 1.72133
236 An1 2.30776
236 An2 2.2541
237 An0 1.95111
237 An1 2.08437
237 An2 2.2477
238 An0 1.816
238 An1 2.14866
238 An2 2.31852
239 An0 1.91541
239 An1 2.02375
239 An2 2.34403
240 An0 2.10919
240 An1 2.09326
240 An2 2.08074
241 An0 2.10084
241 An1 2.01005
241 An2 2.17229
242 An0 2.12132
242 An1 2.06401
242 An2 2.09785
243 An0 2.08439
243 An1 1.95109
243 An2 2.24771
244 An0 2.02375
244 An1 1.91541
244 An2 2.34402
245 An0 2.14867
245 An1 1.81601
245 An2 2.31851
246 An0 2.24689
246 An1 1.93667
246 An2 2.09962
247 An0 2.30774
247 An1 1.72134
247 An2 2.2541
248 An0 2.55605
248 An1 1.62814
248 An2 2.099
249 An0 2.09517
249 An1 2.09401
249 An2 2.09401
250 An0 2.09867
250 An1 2.09444
250 An2 2.09008
251 An0 2.09867
251 An1 2.09008
251 An2 2.09444
252 An0 2.10383
252 An1 2.09464
252 An2 2.08472
253 An0 2.10854
253 An1 2.09158
253 An2 2.08307
254 An0 2.12632
254 An1 2.07872
254 An2 2.07815
255 An0 2.10383
255 An1 2.08472
255 An2 2.09464
256 An0 2.12632
256 An1 2.07815
256 An2 2.07872
257 An0 2.10854
257 An1 2.08307
257 An2 2.09158
258 An0 2.10918
258 An1 2.08075
258 An2 2.09325
259 An0 2.06401
259 An1 2.12132
259 An2 2.09785
260 An0 2.03357
260 An1 2.09276
260 An2 2.15686
261 An0 1.93667
261 An1 2.2469
261 An2 2.09962
262 An0 1.62814
262 An1 2.55605
262 An2 2.099
263 An0 1.72135
263 An1 2.30774
263 An2 2.2541
264 An0 1.95111
264 An1 2.08436
264 An2 2.24772
265 An0 1.81603
265 An1 2.14865
265 An2 2.3185
266 An0 1.9154
266 An1 2.02376
266 An2 2.34402
267 An0 2.10918
267 An1 2.09325
267 An2 2.08075
268 An0 2.09276
268 An1 2.03357
268 An2 2.15686
269 An0 2.12132
269 An1 2.06401
269 An2 2.09785
270 An0 2.08436
270 An1 1.95111
270 An2 2.24772
271 An0 2.02376
271 An1 1.9154
271 An2 2.34402
272 An0 2.14865
272 An1 1.81603
272 An2 2.3185
273 An0 2.2469
273 An1 1.93667
273 An2 2.09962
274 An0 2.30774
